,n_file,len,error_min
65,66,986,0.00023722571590726176
2,3,994,0.0004608146736561428
72,73,1008,0.0004620346873745011
45,46,1013,0.0005076987366175802
1,2,1015,0.000262190209351726
40,41,1017,0.00060745437224721
77,78,1018,0.00032217580114506946
68,69,1026,0.0006244931214478554
3,4,1032,0.0004401365562133297
98,99,1036,0.0007981611295886796
38,39,1044,0.0005586583865576948
18,19,1045,0.0018403993516865433
86,87,1050,0.0005677348738663993
90,91,1071,0.20347994219951532
0,1,1106,0.0006202193734284179
89,90,1109,0.001346809996286324
95,96,1119,0.0005612003062314903
41,42,1161,0.0010677626520952902
43,44,1191,0.0029237205067808485
69,70,1218,0.0004986002142088489
37,38,1244,0.04303631423246073
14,15,1275,0.0006251121955961699
92,93,1303,0.0007370434379797042
61,62,1355,0.0013843351175719188
54,55,1416,0.002130037518568694
34,35,1442,0.18127353220824144
80,81,1445,0.051982046365433375
11,12,1466,0.028078774779141027
49,50,1479,0.0022161681052368072
39,40,1481,0.1139972909263912
28,29,1494,0.0018705286086292325
85,86,1500,0.008597381483289021
23,24,1521,0.20568760355967672
52,53,1552,0.014518479097199546
83,84,1553,0.00472444477984258
88,89,1567,0.0022116876245388425
60,61,1600,0.18280736102167966
7,8,1633,0.2719198934011622
96,97,1639,0.2536178068511933
74,75,1689,0.01781726882259248
22,23,1707,0.009809929365640666
91,92,1724,0.39372672789661345
64,65,1752,0.3905796093454527
19,20,1756,0.030217328397486393
31,32,1822,0.49787528258918257
55,56,1851,1.902700514196755
56,57,1859,0.7118741103771861
84,85,1905,0.723708179448014
4,5,1929,1.2663797681461282
25,26,1930,0.013816263216814782
76,77,1954,0.775671546312214
16,17,1970,0.5964572149745342
26,27,1990,0.6679761258623454
46,47,2106,0.005206595208329448
94,95,2151,0.22338709994595993
15,16,2215,0.23829947623354344
78,79,2248,0.0037476482234954324
70,71,2286,0.002279834521223379
24,25,2309,0.1685559992016521
30,31,2419,0.004006485964464805
47,48,2425,0.010778554817588158
21,22,2459,0.007257132882337667
5,6,2497,0.0037058478362017445
73,74,2584,0.004127987944674219
51,52,2625,0.17538820079362388
36,37,2630,0.019640590916785407
99,100,2731,0.17222971281866037
13,14,2735,0.003293600419757308
29,30,2739,0.2411767283952736
97,98,2750,0.012292780236445377
44,45,2756,0.0027363414383602693
50,51,2757,0.003057171257388296
66,67,2937,0.0046384314293517
35,36,2950,0.2338213299205791
58,59,3004,0.003377189561727502
79,80,3051,0.004964990459656091
6,7,3413,0.004644647341333564
53,54,3427,0.009709443571119518
32,33,3497,0.004513087383064073
71,72,3519,0.012563841975327969
63,64,3592,0.01701495095764637
81,82,3595,0.013164117168041273
33,34,3666,0.015387651844419516
9,10,3668,0.0403196798309336
82,83,3924,0.17259008925631425
48,49,3995,0.03296894411224119
12,13,4098,0.04264623413203142
75,76,4201,0.2102847329621443
87,88,4328,0.01947830273962243
27,28,4357,0.193023513452427
62,63,4412,0.18395959090097644
20,21,4801,0.21610283812682204
93,94,4863,0.013527516557344332
42,43,5271,0.04538166433653715
57,58,5891,0.19226213057917171
17,18,5966,0.19875369520345623
10,11,6471,0.08618745848835152
8,9,6707,0.11912328922148788
67,68,7652,0.22540583078084725
59,60,9097,0.20752076374075104
